Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-20 12:56:58,2019-03-20 12:57:30,32.072s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-20 12:57:00,2019-03-20 12:57:16,16.549s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-20 12:57:00,2019-03-20 12:57:00,0.064s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-20 12:57:01,2019-03-20 12:57:08,7.060s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-20 12:57:08,2019-03-20 12:57:11,2.527s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-20 12:57:11,2019-03-20 12:57:12,1.454s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-20 12:57:12,2019-03-20 12:57:13,1.209s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-20 12:57:13,2019-03-20 12:57:14,0.957s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-20 12:57:14,2019-03-20 12:57:15,0.253s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-20 12:57:15,2019-03-20 12:57:15,0.150s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-20 12:57:15,2019-03-20 12:57:16,1.567s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-20 12:57:16,2019-03-20 12:57:16,0.010s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-20 12:57:16,2019-03-20 12:57:30,13.867s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-20 12:57:16,2019-03-20 12:57:16,0.007s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-20 12:57:17,2019-03-20 12:57:28,10.955s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-20 12:57:28,2019-03-20 12:57:29,0.552s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-20 12:57:29,2019-03-20 12:57:30,1.349s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-20 12:57:30,2019-03-20 12:57:30,0.006s,PASSED
