Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 13:08:00,2019-03-19 13:08:25,24.452s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 13:08:01,2019-03-19 13:08:15,13.286s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 13:08:01,2019-03-19 13:08:01,0.018s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 13:08:02,2019-03-19 13:08:06,3.971s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 13:08:06,2019-03-19 13:08:10,3.634s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 13:08:10,2019-03-19 13:08:12,2.024s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 13:08:12,2019-03-19 13:08:12,0.837s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 13:08:12,2019-03-19 13:08:13,0.854s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 13:08:13,2019-03-19 13:08:13,0.148s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 13:08:13,2019-03-19 13:08:14,0.108s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 13:08:14,2019-03-19 13:08:15,0.949s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 13:08:15,2019-03-19 13:08:15,0.005s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 13:08:15,2019-03-19 13:08:25,10.239s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 13:08:15,2019-03-19 13:08:15,0.002s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 13:08:15,2019-03-19 13:08:23,8.248s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 13:08:23,2019-03-19 13:08:24,0.378s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 13:08:24,2019-03-19 13:08:25,1.086s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 13:08:25,2019-03-19 13:08:25,0.003s,PASSED
