Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 14:03:07,2019-03-19 14:03:29,22.337s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 14:03:08,2019-03-19 14:03:20,11.192s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 14:03:08,2019-03-19 14:03:08,0.034s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 14:03:09,2019-03-19 14:03:13,4.104s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 14:03:13,2019-03-19 14:03:16,2.439s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 14:03:16,2019-03-19 14:03:17,1.344s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 14:03:17,2019-03-19 14:03:18,0.676s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 14:03:18,2019-03-19 14:03:18,0.605s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 14:03:18,2019-03-19 14:03:18,0.188s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 14:03:18,2019-03-19 14:03:19,0.103s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 14:03:19,2019-03-19 14:03:20,1.068s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 14:03:20,2019-03-19 14:03:20,0.018s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 14:03:20,2019-03-19 14:03:29,9.756s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 14:03:20,2019-03-19 14:03:20,0.002s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 14:03:20,2019-03-19 14:03:28,8.087s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 14:03:28,2019-03-19 14:03:29,0.284s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 14:03:29,2019-03-19 14:03:29,0.866s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 14:03:29,2019-03-19 14:03:29,0.006s,PASSED
