Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 13:11:32,2019-03-19 13:11:58,26.339s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 13:11:33,2019-03-19 13:11:47,13.651s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 13:11:33,2019-03-19 13:11:33,0.019s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 13:11:34,2019-03-19 13:11:38,4.458s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 13:11:38,2019-03-19 13:11:41,2.820s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 13:11:41,2019-03-19 13:11:43,1.579s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 13:11:43,2019-03-19 13:11:44,0.778s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 13:11:44,2019-03-19 13:11:45,1.422s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 13:11:45,2019-03-19 13:11:45,0.205s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 13:11:45,2019-03-19 13:11:45,0.109s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 13:11:45,2019-03-19 13:11:47,1.272s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 13:11:47,2019-03-19 13:11:47,0.004s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 13:11:47,2019-03-19 13:11:58,11.515s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 13:11:47,2019-03-19 13:11:47,0.002s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 13:11:47,2019-03-19 13:11:57,9.250s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 13:11:57,2019-03-19 13:11:57,0.461s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 13:11:57,2019-03-19 13:11:58,1.060s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 13:11:58,2019-03-19 13:11:58,0.002s,PASSED
