Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 13:06:28,2019-03-19 13:06:51,23.271s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 13:06:29,2019-03-19 13:06:41,11.878s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 13:06:29,2019-03-19 13:06:29,0.018s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 13:06:30,2019-03-19 13:06:34,4.233s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 13:06:34,2019-03-19 13:06:37,2.418s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 13:06:37,2019-03-19 13:06:38,1.436s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 13:06:38,2019-03-19 13:06:39,0.844s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 13:06:39,2019-03-19 13:06:40,0.769s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 13:06:40,2019-03-19 13:06:40,0.160s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 13:06:40,2019-03-19 13:06:40,0.119s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 13:06:40,2019-03-19 13:06:41,1.161s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 13:06:41,2019-03-19 13:06:41,0.012s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 13:06:41,2019-03-19 13:06:51,10.294s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 13:06:41,2019-03-19 13:06:41,0.003s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 13:06:42,2019-03-19 13:06:50,8.610s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 13:06:50,2019-03-19 13:06:50,0.262s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 13:06:50,2019-03-19 13:06:51,0.879s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 13:06:51,2019-03-19 13:06:51,0.016s,PASSED
