Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ColoradoPeakProMetrics,Chrome 73.0.3683.86,,2019-03-29 12:57:38,2019-03-29 12:58:32,54.094s,PASSED
,,,,,,
Test Cases/ColoradoPeak,Chrome 73.0.3683.86,,2019-03-29 12:57:39,2019-03-29 12:58:32,53.073s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.86,,2019-03-29 12:57:39,2019-03-29 12:57:39,0.024s,PASSED
com.app.keyword.Keywords.peakReport(),Chrome 73.0.3683.86,,2019-03-29 12:57:39,2019-03-29 12:58:32,52.371s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.86,,2019-03-29 12:58:32,2019-03-29 12:58:32,0.003s,PASSED
