Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-20 11:44:34,2019-03-20 11:44:58,24.163s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-20 11:44:34,2019-03-20 11:44:49,14.343s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-20 11:44:34,2019-03-20 11:44:34,0.013s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-20 11:44:35,2019-03-20 11:44:39,3.799s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-20 11:44:39,2019-03-20 11:44:41,2.458s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-20 11:44:41,2019-03-20 11:44:46,4.698s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-20 11:44:46,2019-03-20 11:44:47,0.641s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-20 11:44:47,2019-03-20 11:44:47,0.680s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-20 11:44:47,2019-03-20 11:44:47,0.156s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-20 11:44:47,2019-03-20 11:44:47,0.092s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-20 11:44:47,2019-03-20 11:44:49,1.167s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-20 11:44:49,2019-03-20 11:44:49,0.004s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-20 11:44:49,2019-03-20 11:44:58,9.036s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-20 11:44:49,2019-03-20 11:44:49,0.003s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-20 11:44:49,2019-03-20 11:44:56,7.173s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-20 11:44:56,2019-03-20 11:44:57,0.377s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-20 11:44:57,2019-03-20 11:44:58,0.954s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-20 11:44:58,2019-03-20 11:44:58,0.002s,PASSED
