Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 14:23:11,2019-03-19 14:23:32,21.525s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 14:23:12,2019-03-19 14:23:23,11.361s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 14:23:12,2019-03-19 14:23:12,0.020s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 14:23:13,2019-03-19 14:23:17,4.433s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 14:23:17,2019-03-19 14:23:19,1.829s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 14:23:19,2019-03-19 14:23:20,1.368s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 14:23:20,2019-03-19 14:23:21,0.713s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 14:23:21,2019-03-19 14:23:22,0.676s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 14:23:22,2019-03-19 14:23:22,0.226s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 14:23:22,2019-03-19 14:23:22,0.120s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 14:23:22,2019-03-19 14:23:23,1.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 14:23:23,2019-03-19 14:23:23,0.005s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 14:23:23,2019-03-19 14:23:32,9.132s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 14:23:23,2019-03-19 14:23:23,0.003s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 14:23:24,2019-03-19 14:23:31,7.277s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 14:23:31,2019-03-19 14:23:31,0.340s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 14:23:31,2019-03-19 14:23:32,0.930s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 14:23:32,2019-03-19 14:23:32,0.015s,PASSED
