Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 00:02:46,2019-03-19 00:03:07,20.235s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 00:02:47,2019-03-19 00:02:58,10.911s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 00:02:47,2019-03-19 00:02:47,0.021s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 00:02:48,2019-03-19 00:02:52,3.565s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 00:02:52,2019-03-19 00:02:54,2.761s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 00:02:54,2019-03-19 00:02:56,1.458s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 00:02:56,2019-03-19 00:02:56,0.693s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 00:02:56,2019-03-19 00:02:57,0.598s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 00:02:57,2019-03-19 00:02:57,0.169s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 00:02:57,2019-03-19 00:02:57,0.091s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 00:02:57,2019-03-19 00:02:58,0.934s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 00:02:58,2019-03-19 00:02:58,0.003s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 00:02:58,2019-03-19 00:03:07,8.348s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 00:02:58,2019-03-19 00:02:58,0.005s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 00:02:59,2019-03-19 00:03:05,6.535s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 00:03:05,2019-03-19 00:03:06,0.313s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 00:03:06,2019-03-19 00:03:07,0.962s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 00:03:07,2019-03-19 00:03:07,0.009s,PASSED
