Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-18 13:12:46,2019-03-18 13:13:07,20.961s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-18 13:12:46,2019-03-18 13:12:58,11.339s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-18 13:12:47,2019-03-18 13:12:52,4.301s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-18 13:12:52,2019-03-18 13:12:54,2.287s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-18 13:12:54,2019-03-18 13:12:55,1.347s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-18 13:12:55,2019-03-18 13:12:56,0.628s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-18 13:12:56,2019-03-18 13:12:56,0.664s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-18 13:12:56,2019-03-18 13:12:57,0.191s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-18 13:12:57,2019-03-18 13:12:57,0.108s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-18 13:12:57,2019-03-18 13:12:58,1.018s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-18 13:12:58,2019-03-18 13:13:07,9.154s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-18 13:12:58,2019-03-18 13:13:06,7.811s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-18 13:13:06,2019-03-18 13:13:07,0.942s,PASSED
