Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-25 10:42:34,2019-03-25 10:42:53,19.673s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-25 10:42:35,2019-03-25 10:42:44,9.792s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-25 10:42:35,2019-03-25 10:42:35,0.018s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-25 10:42:35,2019-03-25 10:42:38,3.273s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-25 10:42:38,2019-03-25 10:42:41,2.219s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-25 10:42:41,2019-03-25 10:42:42,1.259s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-25 10:42:42,2019-03-25 10:42:43,0.603s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-25 10:42:43,2019-03-25 10:42:43,0.673s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-25 10:42:43,2019-03-25 10:42:43,0.176s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-25 10:42:43,2019-03-25 10:42:43,0.091s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-25 10:42:43,2019-03-25 10:42:44,0.916s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-25 10:42:44,2019-03-25 10:42:44,0.005s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-25 10:42:44,2019-03-25 10:42:53,8.812s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-25 10:42:44,2019-03-25 10:42:44,0.003s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-25 10:42:45,2019-03-25 10:42:52,7.060s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-25 10:42:52,2019-03-25 10:42:52,0.323s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-25 10:42:52,2019-03-25 10:42:53,0.872s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-25 10:42:53,2019-03-25 10:42:53,0.004s,PASSED
