Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 00:01:00,2019-03-19 00:01:20,20.831s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 00:01:01,2019-03-19 00:01:11,10.196s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 00:01:01,2019-03-19 00:01:01,0.026s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 00:01:01,2019-03-19 00:01:05,3.752s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 00:01:05,2019-03-19 00:01:07,1.728s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 00:01:07,2019-03-19 00:01:08,1.471s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 00:01:08,2019-03-19 00:01:09,0.693s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 00:01:09,2019-03-19 00:01:10,0.606s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 00:01:10,2019-03-19 00:01:10,0.174s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 00:01:10,2019-03-19 00:01:10,0.079s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 00:01:10,2019-03-19 00:01:11,0.976s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 00:01:11,2019-03-19 00:01:11,0.003s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 00:01:11,2019-03-19 00:01:20,9.527s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 00:01:11,2019-03-19 00:01:11,0.004s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 00:01:11,2019-03-19 00:01:19,7.612s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 00:01:19,2019-03-19 00:01:19,0.362s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 00:01:19,2019-03-19 00:01:20,1.007s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 00:01:20,2019-03-19 00:01:20,0.009s,PASSED
