Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ColoradoPeakProMetrics,Chrome 73.0.3683.86,,2019-03-29 13:05:36,2019-03-29 13:06:26,49.650s,PASSED
,,,,,,
Test Cases/ColoradoPeak,Chrome 73.0.3683.86,,2019-03-29 13:05:38,2019-03-29 13:06:26,47.655s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 73.0.3683.86,,2019-03-29 13:05:38,2019-03-29 13:05:38,0.026s,PASSED
com.app.keyword.Keywords.peakReport(),Chrome 73.0.3683.86,,2019-03-29 13:05:39,2019-03-29 13:06:26,46.445s,PASSED
Start listener action : sampleAfterTestCase,Chrome 73.0.3683.86,,2019-03-29 13:06:26,2019-03-29 13:06:26,0.007s,PASSED
