Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 14:20:42,2019-03-19 14:21:06,23.452s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 14:20:43,2019-03-19 14:20:55,11.675s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 14:20:43,2019-03-19 14:20:43,0.021s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 14:20:44,2019-03-19 14:20:48,4.109s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 14:20:48,2019-03-19 14:20:51,2.552s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 14:20:51,2019-03-19 14:20:52,1.313s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 14:20:52,2019-03-19 14:20:53,0.806s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 14:20:53,2019-03-19 14:20:54,0.751s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 14:20:54,2019-03-19 14:20:54,0.193s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 14:20:54,2019-03-19 14:20:54,0.126s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 14:20:54,2019-03-19 14:20:55,1.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 14:20:55,2019-03-19 14:20:55,0.004s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 14:20:55,2019-03-19 14:21:06,10.580s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 14:20:55,2019-03-19 14:20:55,0.001s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 14:20:56,2019-03-19 14:21:04,8.576s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 14:21:04,2019-03-19 14:21:05,0.380s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 14:21:05,2019-03-19 14:21:06,1.005s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 14:21:06,2019-03-19 14:21:06,0.004s,PASSED
