Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 72.0.3626.121,,2019-03-19 14:19:07,2019-03-19 14:19:31,23.599s,PASSED
,,,,,,
Test Cases/TestRecord,Chrome 72.0.3626.121,,2019-03-19 14:19:08,2019-03-19 14:19:21,12.156s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 14:19:08,2019-03-19 14:19:08,0.018s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-19 14:19:09,2019-03-19 14:19:14,4.560s,PASSED
"navigateToUrl(""https://coloradopeak.secure.force.com/AC_Welcome?"")",Chrome 72.0.3626.121,,2019-03-19 14:19:14,2019-03-19 14:19:16,2.521s,PASSED
"click(findTestObject(""WelcomePage/btnNext""))",Chrome 72.0.3626.121,,2019-03-19 14:19:16,2019-03-19 14:19:18,1.382s,PASSED
"selectOptionByValue(findTestObject(""WelcomePage/selectCounty""), ""006"", true)",Chrome 72.0.3626.121,,2019-03-19 14:19:18,2019-03-19 14:19:18,0.738s,PASSED
"click(findTestObject(""WelcomePage/btnNextCountyPage""))",Chrome 72.0.3626.121,,2019-03-19 14:19:18,2019-03-19 14:19:19,0.674s,PASSED
"setText(findTestObject(""WelcomePage/txtFirstName""), ""David"")",Chrome 72.0.3626.121,,2019-03-19 14:19:19,2019-03-19 14:19:19,0.221s,PASSED
"setText(findTestObject(""WelcomePage/txtAge""), ""34"")",Chrome 72.0.3626.121,,2019-03-19 14:19:19,2019-03-19 14:19:19,0.110s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 14:19:19,2019-03-19 14:19:21,1.089s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 14:19:21,2019-03-19 14:19:21,0.004s,PASSED
,,,,,,
Test Cases/TestScripts,Chrome 72.0.3626.121,,2019-03-19 14:19:21,2019-03-19 14:19:31,10.303s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.121,,2019-03-19 14:19:21,2019-03-19 14:19:21,0.003s,PASSED
com.app.keyword.Keywords.start(),Chrome 72.0.3626.121,,2019-03-19 14:19:21,2019-03-19 14:19:29,8.173s,PASSED
com.app.keyword.Keywords.people(),Chrome 72.0.3626.121,,2019-03-19 14:19:29,2019-03-19 14:19:30,0.454s,PASSED
closeBrowser(),Chrome 72.0.3626.121,,2019-03-19 14:19:30,2019-03-19 14:19:31,0.981s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.121,,2019-03-19 14:19:31,2019-03-19 14:19:31,0.002s,PASSED
